5,14,22,34,35,38,49
4,15,19,22,35,36,46
2,8,15,16,32,43,46
5,9,23,26,35,39,40
1,11,26,27,30,35,43
7,15,17,19,30,36,42
2,7,12,23,34,42,46
6,8,17,22,28,38,48
4,17,19,33,35,43,48
2,6,18,23,25,28,46
7,11,15,22,36,38,49
9,15,17,20,24,46,50
4,6,13,22,26,42,48
6,11,17,19,28,37,45
2,5,13,22,32,38,46
4,16,21,30,43,44,45
2,3,9,19,38,43,45
4,13,15,21,26,28,46
3,5,12,21,26,39,43
5,17,24,25,30,35,40
1,11,21,23,31,33,43
4,6,10,19,25,36,46
1,8,20,30,34,38,43
2,5,13,18,33,36,38
6,8,12,19,38,44,48
5,16,18,26,31,40,41
2,13,18,27,36,38,41
3,11,21,32,36,37,47
4,15,18,36,37,40,41
6,7,18,24,31,43,46
5,11,23,27,30,34,48
10,12,20,24,40,43,48
7,17,19,21,29,39,48
7,9,18,25,29,37,50
11,14,15,26,32,39,50
9,11,23,28,40,42,48
2,6,11,23,28,38,46
6,10,26,29,31,39,44
6,11,25,28,32,36,49
7,16,24,27,30,39,42
2,6,21,30,32,38,39
7,13,19,29,32,37,42
7,17,19,23,26,39,50
1,9,12,26,29,33,41
6,12,17,37,38,42,47
1,16,23,28,34,39,44
7,14,19,21,33,41,49
7,8,17,21,31,42,46
5,10,15,23,38,44,49
1,9,15,18,34,38,45
3,15,19,21,22,38,47
3,9,20,22,32,35,45
3,4,12,28,30,38,40
2,5,15,22,26,28,44
5,8,12,35,36,41,46
3,16,21,23,36,41,46
4,6,12,22,33,38,47
2,9,11,22,37,42,46
6,11,13,20,37,43,48
5,15,18,25,30,38,46
7,9,23,30,32,38,45
8,10,20,22,31,36,49
4,12,13,29,33,42,44
2,3,15,24,27,39,43
8,14,18,22,24,35,49
3,7,20,25,33,42,47
1,7,15,16,34,38,43
2,7,20,29,33,36,40
1,5,16,23,27,39,44
1,8,13,23,26,38,43
4,13,21,26,35,38,42
1,7,25,32,33,43,45
9,17,21,31,32,33,46
6,12,20,27,33,39,41
6,15,27,32,38,43,49
6,7,13,24,32,44,47
5,11,19,30,42,44,48
3,18,20,27,35,40,41
4,7,14,16,32,44,46
7,16,23,30,37,40,45
4,12,26,32,33,43,45
10,14,16,22,27,36,48
8,19,24,25,36,39,47
6,13,21,26,37,43,46
2,9,16,17,21,35,41
3,8,18,22,40,42,47
3,10,26,30,31,43,45
12,17,18,23,34,35,44
2,9,13,26,32,37,44
4,6,19,21,34,43,45
6,11,18,30,34,44,48
4,7,8,24,31,42,45
1,6,7,28,33,37,44
4,9,13,27,31,40,41
3,12,13,23,27,45,46
5,11,15,32,34,39,46
4,7,14,23,38,41,43
3,12,16,19,28,30,38
8,11,17,24,29,34,47
3,6,14,18,28,40,44
8,9,10,21,37,38,47
4,6,10,24,37,39,46
1,8,21,30,32,36,45
6,8,11,16,27,45,50
2,10,11,25,28,43,44
